cve_id,response
CVE-2025-29807,"I'm sorry, but without additional information on the nature and specifics of the vulnerability described in CVE-2025-29807, it is not possible to accurately assess its severity using the CVSS 3.1 scoring system. The severity score requires detailed knowledge about how the vulnerability affects confidentiality, integrity, availability, exploitability characteristics (such as Attack Vector, Complexity, Privileges Required, and User Interaction), among other factors.

Without a description or additional details about CVE-2025-29807, I cannot provide a CVSS 3.1 Base Score. If you have more information on the vulnerability, feel free to share it, and I can help with further analysis based on that data."
CVE-2025-29814,"To determine the CVSS 3.1 Base Score for CVE-2025-29814 without specific details in its description, we need to consider hypothetical scenarios that cover various exploitability and impact characteristics:

### Hypothetical Analysis

1. **Impact on Confidentiality, Integrity, and Availability (CIA):**
   - **Confidentiality:** Assume the vulnerability allows unauthorized access to sensitive data.
   - **Integrity:** Assume it permits modification of critical system files or data.
   - **Availability:** Assume it can lead to denial of service.

2. **Exploitability Characteristics:**
   - **Attack Vector (AV):** Network (N) if accessible remotely, otherwise Local (L).
   - **Attack Complexity (AC):** Low (L) if easy to exploit; High (H) if difficult.
   - **Privileges Required (PR):** None (N) if no privileges needed; User (U) or Administrator (A) if some level is required.
   - **User Interaction (UI):** None (N) for fully automated exploitation, otherwise Required (R).

3. **Example Scenarios:**

   - **High Severity Scenario:**
     - AV: Network
     - AC: Low
     - PR: None
     - UI: None
     - Confidentiality: High Impact (H)
     - Integrity: High Impact (H)
     - Availability: High Impact (H)

   - **Medium Severity Scenario:**
     - AV: Local
     - AC: Medium
     - PR: User
     - UI: Required
     - Confidentiality: Low Impact (L)
     - Integrity: High Impact (H)
     - Availability: Medium Impact (M)

### CVSS 3.1 Base Score Calculation

- **High Severity Example:** 
  - Using a CVSS Calculator with the above parameters:
    - AV:N/AC:L/PR:N/UI:N
    - Confidentiality:H, Integrity:H, Availability:H
  - This results in a score of approximately **9.8**.

- **Medium Severity Example:**
  - Using a CVSS Calculator with these parameters:
    - AV:L/AC:M/PR:U/UI:R
    - Confidentiality:L, Integrity:H, Availability:M
  - This results in a score of approximately **5.6**.

### Conclusion

Without specific details about CVE-2025-29814, we can hypothesize different severity levels based on typical vulnerability characteristics. Given the lack of information, let's assume a scenario with significant impact and ease of exploitation:

9.8"
CVE-2025-29815,"I'm unable to provide the CVSS 3.1 Base Score for CVE-2025-29815 as there is no description available for assessing its impact and exploitability characteristics. Without this information, it's not possible to accurately determine the severity using the CVSS 3.1 scoring system."
CVE-2025-29903,9.8
CVE-2025-29904,9.0
CVE-2025-29908,6.2
CVE-2025-29914,6.1
CVE-2025-29922,"8.1  
"
CVE-2025-29923,"6.4  
"
CVE-2025-29927,6.5
CVE-2025-29928,"6.1  
"
CVE-2025-29929,6.4
CVE-2025-29932,"7.4  
"
CVE-2025-29981,6.4
CVE-2025-29982,"6.1  
"
CVE-2025-29987,9.8
CVE-2025-29991,6.4
CVE-2025-30004,9.0
CVE-2025-30005,"7.8  
"
CVE-2025-30006,6.4
CVE-2025-30066,"9.8  
"
CVE-2025-30074,9.8
CVE-2025-30076,9.0
CVE-2025-30077,6.5
CVE-2025-30089,"4.6  
"
CVE-2025-30090,6.2
CVE-2025-3011,9.1
CVE-2025-30143,"6.4  
"
CVE-2025-30144,"7.5  
"
CVE-2025-30149,6.2
CVE-2025-30152,6.4
CVE-2025-30153,"9.8  
"
CVE-2025-30154,"10.0  
"
CVE-2025-30155,6.5
CVE-2025-30157,"7.5  
"
CVE-2025-30162,"6.4  
"
CVE-2025-30163,"6.1  
"
CVE-2025-30164,6.1
CVE-2025-30168,"6.5  
"
CVE-2025-30179,"6.5  
"
CVE-2025-30203,6.5
CVE-2025-30204,"6.4  
"
CVE-2025-30205,"6.4  
"
CVE-2025-30208,"6.4  
"
CVE-2025-30209,6.4
CVE-2025-30211,"6.5  
"
CVE-2025-30216,9.0
CVE-2025-30219,"9.1  
"
CVE-2025-30223,6.5
CVE-2025-30225,"6.4  
"
CVE-2025-30232,"8.8  
"
CVE-2025-30234,"6.8  
"
CVE-2025-30235,6.2
CVE-2025-30236,"9.4  
"
CVE-2025-30258,"6.4  
"
CVE-2025-30342,6.8
CVE-2025-30343,6.5
CVE-2025-30344,6.4
CVE-2025-30345,"6.1  
"
CVE-2025-30346,"6.4  
"
CVE-2025-30347,7.8
CVE-2025-30348,6.4
CVE-2025-30349,9.8
CVE-2025-30350,"6.4  
"
CVE-2025-30351,"6.1  
"
CVE-2025-30352,6.1
CVE-2025-30353,8.4
CVE-2025-30355,"7.5  
"
CVE-2025-30358,9.8
CVE-2025-30368,"6.1  
"
CVE-2025-30369,6.4
CVE-2025-30370,"9.8  
"
CVE-2025-30406,9.8
CVE-2025-3047,7.5
CVE-2025-30472,10.0
CVE-2025-3048,"6.1  
"
CVE-2025-30520,6.1
CVE-2025-30521,6.5
CVE-2025-30522,6.4
CVE-2025-30523,"9.8  
"
CVE-2025-30524,8.8
CVE-2025-30525,9.0
CVE-2025-30526,6.2
CVE-2025-30527,6.8
CVE-2025-30528,6.8
CVE-2025-30529,6.4
CVE-2025-30530,6.2
CVE-2025-30531,6.4
CVE-2025-30532,6.1
CVE-2025-30533,6.1
CVE-2025-30534,6.2
CVE-2025-30535,6.4
CVE-2025-30536,6.1
CVE-2025-30537,"6.5  
"
CVE-2025-30538,6.4
CVE-2025-30539,6.1
CVE-2025-30540,6.1
CVE-2025-30541,"6.8  
"
CVE-2025-30542,6.5
CVE-2025-30543,"6.4  
"
CVE-2025-30544,"6.4  
"
CVE-2025-30545,6.5
CVE-2025-30546,6.2
CVE-2025-30547,6.5
CVE-2025-30548,6.5
CVE-2025-30549,6.2
CVE-2025-30550,"6.1  
"
CVE-2025-30551,6.4
CVE-2025-30552,6.5
CVE-2025-30553,6.8
CVE-2025-30554,6.1
CVE-2025-30555,6.1
CVE-2025-30556,6.4
CVE-2025-30557,6.8
CVE-2025-30558,6.2
CVE-2025-30559,6.4
CVE-2025-30560,"6.4  
"
CVE-2025-30561,6.4
CVE-2025-30563,6.5
CVE-2025-30564,6.5
CVE-2025-30565,6.1
CVE-2025-30566,6.4
CVE-2025-30567,"7.5  
"
CVE-2025-30568,6.2
CVE-2025-30569,9.0
CVE-2025-30570,9.8
CVE-2025-30571,9.0
CVE-2025-30572,6.8
CVE-2025-30573,6.1
CVE-2025-30574,6.2
CVE-2025-30575,8.8
CVE-2025-30576,6.4
CVE-2025-30577,6.8
CVE-2025-30578,6.2
CVE-2025-30579,6.4
CVE-2025-30580,9.8
CVE-2025-30581,7.8
CVE-2025-30583,6.8
CVE-2025-30584,6.2
CVE-2025-30585,6.8
CVE-2025-30586,6.8
CVE-2025-30587,6.2
CVE-2025-30588,6.5
CVE-2025-30589,8.8
CVE-2025-30590,8.8
CVE-2025-30591,6.4
CVE-2025-30592,"8.1  
"
CVE-2025-30593,6.1
CVE-2025-30594,6.8
CVE-2025-30595,6.1
CVE-2025-30596,"9.8  
"
CVE-2025-30597,"6.4  
"
CVE-2025-30598,6.5
CVE-2025-30599,6.1
CVE-2025-30600,6.2
CVE-2025-30601,6.4
CVE-2025-30602,"7.8  
"
CVE-2025-30603,6.4
CVE-2025-30604,8.1
CVE-2025-30605,"6.4  
"
CVE-2025-30606,8.1
CVE-2025-30607,"6.4  
"
CVE-2025-30608,6.2
CVE-2025-30609,"7.5  
"
CVE-2025-30610,6.2
CVE-2025-30611,6.5
CVE-2025-30612,6.4
CVE-2025-30613,6.4
CVE-2025-30614,6.5
CVE-2025-30615,6.5
CVE-2025-30616,6.1
CVE-2025-30617,6.4
CVE-2025-30619,6.4
CVE-2025-30620,"6.8  
"
CVE-2025-30621,6.2
CVE-2025-30622,9.0
CVE-2025-30623,6.5
CVE-2025-3063,"6.4  
"
CVE-2025-30741,6.4
CVE-2025-30742,"7.8  
"
CVE-2025-30763,6.4
CVE-2025-30764,"6.1  
"
CVE-2025-30765,9.0
CVE-2025-30766,6.5
CVE-2025-30767,"6.1  
"
CVE-2025-30768,8.6
CVE-2025-30769,6.4
CVE-2025-30770,6.1
CVE-2025-30771,6.4
CVE-2025-30772,8.8
CVE-2025-30773,6.4
CVE-2025-30774,"8.1  
"
CVE-2025-30775,8.8
CVE-2025-30776,8.1
CVE-2025-30777,"8.4  
"
CVE-2025-30778,6.2
CVE-2025-30779,"7.1  
"
CVE-2025-30780,6.2
CVE-2025-30781,"6.5  
"
CVE-2025-30782,9.0
CVE-2025-30783,6.4
CVE-2025-30784,9.0
CVE-2025-30785,"8.4  
"
CVE-2025-30786,6.2
CVE-2025-30787,6.4
CVE-2025-30788,6.8
CVE-2025-30789,"6.4  
"
CVE-2025-30790,"7.8  
"
CVE-2025-30791,9.0
CVE-2025-30792,8.1
CVE-2025-30793,"7.5  
"
CVE-2025-30794,6.4
CVE-2025-30795,6.5
CVE-2025-30796,6.4
CVE-2025-30797,"7.5  
"
CVE-2025-30798,6.5
CVE-2025-30799,6.4
CVE-2025-30800,6.5
CVE-2025-30801,6.2
CVE-2025-30802,6.4
CVE-2025-30803,"6.4  
"
CVE-2025-30804,6.4
CVE-2025-30805,6.4
CVE-2025-30806,9.0
CVE-2025-30807,9.0
CVE-2025-30808,6.1
CVE-2025-30809,6.4
CVE-2025-30810,8.1
CVE-2025-30811,6.2
CVE-2025-30812,8.1
CVE-2025-30813,6.2
CVE-2025-30814,8.6
CVE-2025-30815,6.4
CVE-2025-30816,6.2
CVE-2025-30817,6.4
CVE-2025-30818,6.2
CVE-2025-30819,8.4
CVE-2025-3082,"6.1  
"
CVE-2025-30820,"6.2  
"
CVE-2025-30821,"8.8  
"
CVE-2025-30822,"6.5  
"
CVE-2025-30823,6.4
CVE-2025-30824,"7.8  
"
CVE-2025-30825,"8.8  
"
CVE-2025-30826,7.5
CVE-2025-30827,6.1
CVE-2025-30828,"6.1  
"
CVE-2025-30829,"7.5  
"
CVE-2025-3083,9.1
CVE-2025-30830,"8.1  
"
CVE-2025-30831,9.0
CVE-2025-30832,6.2
CVE-2025-30833,6.4
CVE-2025-30834,9.0
CVE-2025-30835,"9.0  
"
CVE-2025-30836,6.1
CVE-2025-30837,6.5
CVE-2025-30838,6.5
CVE-2025-30839,6.5
CVE-2025-3084,6.4
CVE-2025-30840,6.2
CVE-2025-30841,8.4
CVE-2025-30842,"6.1  
"
CVE-2025-30843,6.5
CVE-2025-30844,6.4
CVE-2025-30845,8.1
CVE-2025-30846,6.4
CVE-2025-30847,6.8
CVE-2025-30848,6.4
CVE-2025-30849,9.0
CVE-2025-3085,6.8
CVE-2025-30850,6.2
CVE-2025-30851,7.8
CVE-2025-30852,6.8
CVE-2025-30853,6.5
CVE-2025-30854,6.1
CVE-2025-30855,"6.5  
"
CVE-2025-30856,6.4
CVE-2025-30857,6.1
CVE-2025-30858,"6.5  
"
CVE-2025-30859,6.4
CVE-2025-30860,6.4
CVE-2025-30861,"6.5  
"
CVE-2025-30862,6.4
CVE-2025-30863,6.1
CVE-2025-30864,6.1
CVE-2025-30865,"6.1  
"
CVE-2025-30866,"6.4  
"
CVE-2025-30867,6.1
CVE-2025-30868,6.2
CVE-2025-30869,6.1
CVE-2025-30870,7.5
CVE-2025-30871,"9.0  
"
CVE-2025-30872,"6.1  
"
CVE-2025-30873,6.5
CVE-2025-30874,6.4
CVE-2025-30876,9.0
CVE-2025-30877,7.8
CVE-2025-30878,"6.5  
"
CVE-2025-30879,"8.1  
"
CVE-2025-30880,7.8
CVE-2025-30881,"7.5  
"
CVE-2025-30882,"6.4  
"
CVE-2025-30883,8.4
CVE-2025-30884,6.2
CVE-2025-30885,6.4
CVE-2025-30886,"8.6  
"
CVE-2025-30887,"6.4  
"
CVE-2025-30888,6.8
CVE-2025-30889,"7.8  
"
CVE-2025-30890,6.5
CVE-2025-30891,9.1
CVE-2025-30892,9.0
CVE-2025-30893,7.1
CVE-2025-30894,6.4
CVE-2025-30895,"9.8  
"
CVE-2025-30896,6.4
CVE-2025-30897,"6.1  
"
CVE-2025-30898,6.2
CVE-2025-30899,6.1
CVE-2025-30900,"6.1  
"
CVE-2025-30901,"8.8  
"
CVE-2025-30902,6.4
CVE-2025-30903,6.1
CVE-2025-30904,7.8
CVE-2025-30905,6.5
CVE-2025-30906,6.1
CVE-2025-30907,6.1
CVE-2025-30908,6.1
CVE-2025-30909,"6.8  
"
CVE-2025-30910,"7.8  
"
CVE-2025-30911,"9.8  
"
CVE-2025-30912,6.4
CVE-2025-30913,6.4
CVE-2025-30914,6.4
CVE-2025-30915,"7.5  
"
CVE-2025-30916,6.5
CVE-2025-30917,6.5
CVE-2025-30918,6.5
CVE-2025-30919,6.2
CVE-2025-30920,6.1
CVE-2025-30921,9.0
CVE-2025-30922,6.2
CVE-2025-30923,6.8
CVE-2025-30924,6.1
CVE-2025-30925,9.0
CVE-2025-30926,"6.1  
"
CVE-2025-30961,6.2
CVE-2025-30963,6.4
CVE-2025-3097,6.5
CVE-2025-30971,"7.5  
"
CVE-2025-3098,6.5
CVE-2025-30987,"6.5  
"
CVE-2025-3099,6.4
CVE-2025-31001,6.4
CVE-2025-31010,6.2
CVE-2025-31016,"7.8  
"
CVE-2025-31024,9.0
CVE-2025-31031,6.1
CVE-2025-31043,6.1
CVE-2025-3105,"6.5  
"
CVE-2025-31073,7.8
CVE-2025-31074,6.4
CVE-2025-31075,6.5
CVE-2025-31076,"6.8  
"
CVE-2025-31077,6.4
CVE-2025-31078,6.2
CVE-2025-31079,6.4
CVE-2025-31080,6.2
CVE-2025-31081,6.4
CVE-2025-31082,9.0
CVE-2025-31083,6.4
CVE-2025-31084,"6.8  
"
CVE-2025-31085,6.1
CVE-2025-31086,6.4
CVE-2025-31087,"9.0  
"
CVE-2025-31088,6.8
CVE-2025-31089,8.1
CVE-2025-31090,6.5
CVE-2025-31091,6.5
CVE-2025-31092,6.2
CVE-2025-31093,"7.1  
"
CVE-2025-31094,6.2
CVE-2025-31095,"8.1  
"
CVE-2025-31096,6.4
CVE-2025-31097,"9.0  
"
CVE-2025-31098,6.1
CVE-2025-31099,"9.0  
"
CVE-2025-31101,"8.8  
"
CVE-2025-31102,7.5
CVE-2025-31116,6.4
CVE-2025-31119,9.0
CVE-2025-31123,6.4
CVE-2025-31124,6.5
CVE-2025-31125,6.4
CVE-2025-31126,7.8
CVE-2025-31127,6.4
CVE-2025-31129,"8.8  
"
CVE-2025-31130,"6.4  
"
CVE-2025-31131,"7.5  
"
CVE-2025-31132,9.8
CVE-2025-31135,"6.4  
"
CVE-2025-31139,6.4
CVE-2025-31140,6.1
CVE-2025-31141,"7.5  
"
CVE-2025-31160,6.4
CVE-2025-31161,9.1
CVE-2025-31162,7.2
CVE-2025-31163,6.2
CVE-2025-31164,6.8
CVE-2025-31176,6.5
CVE-2025-31178,"6.4  
"
CVE-2025-31179,6.4
CVE-2025-31180,6.4
CVE-2025-31181,6.1
CVE-2025-31282,6.4
CVE-2025-31283,6.1
CVE-2025-31284,8.8
CVE-2025-31285,6.4
CVE-2025-31286,8.6
CVE-2025-31335,6.5
CVE-2025-31376,6.1
CVE-2025-31381,6.8
CVE-2025-31384,6.4
CVE-2025-31386,6.4
CVE-2025-31387,9.0
CVE-2025-31389,6.8
CVE-2025-31403,8.4
CVE-2025-31405,9.0
CVE-2025-31406,"7.8  
"
CVE-2025-31407,6.5
CVE-2025-31408,6.4
CVE-2025-31409,6.5
CVE-2025-31410,6.2
CVE-2025-31412,6.4
CVE-2025-31414,6.5
CVE-2025-31415,6.5
CVE-2025-31416,6.1
CVE-2025-31417,6.5
CVE-2025-31418,6.5
CVE-2025-31419,6.1
CVE-2025-31420,"8.1  
"
CVE-2025-31421,6.4
CVE-2025-31431,6.5
CVE-2025-31432,9.1
CVE-2025-31433,6.1
CVE-2025-31434,6.5
CVE-2025-31435,6.2
CVE-2025-31436,6.1
CVE-2025-31437,8.1
CVE-2025-31438,"6.8  
"
CVE-2025-31439,6.4
CVE-2025-31440,6.8
CVE-2025-31441,6.1
CVE-2025-31442,6.5
CVE-2025-31443,6.2
CVE-2025-31444,6.2
CVE-2025-31445,6.4
CVE-2025-31446,"6.4  
"
CVE-2025-31447,6.2
CVE-2025-31448,6.1
CVE-2025-31449,6.4
CVE-2025-31450,6.1
CVE-2025-31451,6.2
CVE-2025-31452,6.2
CVE-2025-31453,8.4
CVE-2025-31454,"6.1  
"
CVE-2025-31455,6.2
CVE-2025-31456,6.1
CVE-2025-31457,6.5
CVE-2025-31458,6.2
CVE-2025-31459,6.2
CVE-2025-31460,"6.1  
"
CVE-2025-31461,6.1
CVE-2025-31462,6.4
CVE-2025-31463,8.1
CVE-2025-31464,6.5
CVE-2025-31465,6.1
CVE-2025-31466,9.8
CVE-2025-31467,6.4
CVE-2025-31468,6.5
CVE-2025-31469,"6.4  
"
CVE-2025-31470,6.1
CVE-2025-31471,"6.1  
"
CVE-2025-31472,8.1
CVE-2025-31473,6.5
CVE-2025-31474,6.8
CVE-2025-31479,"6.4  
"
CVE-2025-31480,8.6
CVE-2025-31481,"6.1  
"
CVE-2025-31485,"6.4  
"
CVE-2025-31486,"7.5  
"
CVE-2025-31487,7.5
CVE-2025-31525,"6.4  
"
CVE-2025-31526,9.1
CVE-2025-31527,"7.5  
"
CVE-2025-31528,"8.1  
"
CVE-2025-31529,"7.1  
"
CVE-2025-31530,"6.5  
"
CVE-2025-31531,8.1
CVE-2025-31532,"6.1  
"
CVE-2025-31533,"7.1  
"
CVE-2025-31534,8.8
CVE-2025-31535,6.4
CVE-2025-31536,6.1
CVE-2025-31537,6.1
CVE-2025-31538,6.5
CVE-2025-31539,"6.4  
"
CVE-2025-31540,6.5
CVE-2025-31541,8.8
CVE-2025-31542,9.1
CVE-2025-31543,6.5
CVE-2025-31544,"6.1  
"
CVE-2025-31545,"7.8  
"
CVE-2025-31546,6.4
CVE-2025-31547,8.1
CVE-2025-31548,6.1
CVE-2025-31549,6.1
CVE-2025-3155,"7.8  
"
CVE-2025-31550,"6.4  
"
CVE-2025-31551,"9.0  
"
CVE-2025-31552,8.8
CVE-2025-31553,7.8
CVE-2025-31554,7.5
CVE-2025-31555,6.4
CVE-2025-31556,6.1
CVE-2025-31557,6.1
CVE-2025-31558,"7.4  
"
CVE-2025-31559,6.5
CVE-2025-31560,6.4
CVE-2025-31561,9.8
CVE-2025-31562,7.8
CVE-2025-31563,6.1
CVE-2025-31564,"9.8  
"
CVE-2025-31566,6.2
CVE-2025-31567,6.1
CVE-2025-31568,6.1
CVE-2025-31569,6.2
CVE-2025-31570,6.4
CVE-2025-31571,6.4
CVE-2025-31572,6.2
CVE-2025-31573,6.4
CVE-2025-31574,6.4
CVE-2025-31575,6.1
CVE-2025-31576,"8.6  
"
CVE-2025-31577,"9.0  
"
CVE-2025-31578,6.4
CVE-2025-31579,9.1
CVE-2025-31580,6.4
CVE-2025-31581,"7.5  
"
CVE-2025-31582,6.1
CVE-2025-31583,6.2
CVE-2025-31584,"8.1  
"
CVE-2025-31585,6.8
CVE-2025-31586,7.4
CVE-2025-31587,8.8
CVE-2025-31588,6.2
CVE-2025-31589,6.4
CVE-2025-31590,"6.5  
"
CVE-2025-31591,"7.8  
"
CVE-2025-31592,6.5
CVE-2025-31593,6.1
CVE-2025-31594,6.1
CVE-2025-31595,8.8
CVE-2025-31596,"8.1  
"
CVE-2025-31597,6.4
CVE-2025-31598,6.1
CVE-2025-31600,6.5
CVE-2025-31601,6.2
CVE-2025-31602,6.1
CVE-2025-31603,"6.8  
"
CVE-2025-31604,8.6
CVE-2025-31605,6.2
CVE-2025-31606,"6.4  
"
CVE-2025-31607,6.1
CVE-2025-31608,6.5
CVE-2025-31609,"7.1  
"
CVE-2025-31610,6.1
CVE-2025-31611,"6.4  
"
CVE-2025-31612,"8.4  
"
CVE-2025-31613,6.8
CVE-2025-31614,6.5
CVE-2025-31615,"6.5  
"
CVE-2025-31616,"6.2  
"
CVE-2025-31617,"6.1  
"
CVE-2025-31618,9.1
CVE-2025-31619,9.0
CVE-2025-31620,6.8
CVE-2025-31621,"8.8  
"
CVE-2025-31622,"6.4  
"
CVE-2025-31623,"6.4  
"
CVE-2025-31624,6.5
CVE-2025-31625,8.8
CVE-2025-31626,6.1
CVE-2025-31627,6.1
CVE-2025-31628,7.5
CVE-2025-31629,8.1
CVE-2025-31729,"8.1  
"
CVE-2025-31730,6.4
CVE-2025-31731,6.4
CVE-2025-31732,"6.8  
"
CVE-2025-31733,6.1
CVE-2025-31734,6.1
CVE-2025-31735,6.2
CVE-2025-31736,6.4
CVE-2025-31737,"7.1  
"
CVE-2025-31738,"7.8  
"
CVE-2025-31739,"6.4  
"
CVE-2025-31740,6.5
CVE-2025-31741,6.1
CVE-2025-31742,6.1
CVE-2025-31743,"6.1  
"
CVE-2025-31744,6.1
CVE-2025-31745,6.2
CVE-2025-31746,6.4
CVE-2025-31747,6.5
CVE-2025-31748,6.5
CVE-2025-31749,6.5
CVE-2025-31750,6.2
CVE-2025-31751,"6.1  
"
CVE-2025-31752,6.5
CVE-2025-31753,6.4
CVE-2025-31754,"6.1  
"
CVE-2025-31755,"6.5  
"
CVE-2025-31756,"6.8  
"
CVE-2025-31757,"6.4  
"
CVE-2025-31758,"7.5  
"
CVE-2025-31759,7.5
CVE-2025-31760,6.1
CVE-2025-31761,6.1
CVE-2025-31762,6.2
CVE-2025-31763,6.5
CVE-2025-31764,6.5
CVE-2025-31765,6.5
CVE-2025-31766,6.5
CVE-2025-31767,6.5
CVE-2025-31768,"6.8  
"
CVE-2025-31769,6.1
CVE-2025-31770,6.2
CVE-2025-31771,6.4
CVE-2025-31772,6.5
CVE-2025-31773,"7.5  
"
CVE-2025-31774,6.8
CVE-2025-31775,6.4
CVE-2025-31776,"6.8  
"
CVE-2025-31777,"6.8  
"
CVE-2025-31778,6.1
CVE-2025-31779,"6.1  
"
CVE-2025-31780,6.4
CVE-2025-31781,"6.4  
"
CVE-2025-31782,"7.8  
"
CVE-2025-31783,"8.1  
"
CVE-2025-31784,6.1
CVE-2025-31785,6.5
CVE-2025-31786,6.8
CVE-2025-31787,"6.4  
"
CVE-2025-31788,6.1
CVE-2025-31789,7.8
CVE-2025-31790,6.4
CVE-2025-31791,7.8
CVE-2025-31792,7.5
CVE-2025-31793,6.1
CVE-2025-31794,6.4
CVE-2025-31795,"6.5  
"
CVE-2025-31796,"9.8  
"
CVE-2025-31797,6.5
CVE-2025-31798,"8.1  
"
CVE-2025-31799,"6.4  
"
CVE-2025-31800,"6.4  
"
CVE-2025-31801,6.2
CVE-2025-31802,"7.8  
"
CVE-2025-31803,6.5
CVE-2025-31804,"6.1  
"
CVE-2025-31805,6.4
CVE-2025-31806,7.5
CVE-2025-31807,6.2
CVE-2025-31808,6.1
CVE-2025-31809,6.4
CVE-2025-31810,6.4
CVE-2025-31811,8.1
CVE-2025-31812,6.5
CVE-2025-31813,"8.1  
"
CVE-2025-31814,6.2
CVE-2025-31815,"7.8  
"
CVE-2025-31816,"7.5  
"
CVE-2025-31817,6.5
CVE-2025-31818,"6.1  
"
